Temperature,Absolute Magnitude
0.77725,-0.14218
0.80374,-0.14451
0.92153,-0.16389
0.80789,-0.15144
1,-0.18693
0.82577,-0.15141
0.84012,-0.15789
0.85022,-0.15952
0.85267,-0.1583
0.77557,-0.1522
0.47621,-0.10921
0.53933,-0.126
0.61723,-0.13056
0.46454,-0.10767
0.54174,-0.13924
0.60834,-0.12435
0.70587,-0.14521
0.48171,-0.10699
0.63444,-0.13001
0.50405,-0.11523
0.34509,0.489
0.63476,-0.0045716
0.64932,-0.019799
0.65664,0.015038
0.46667,0.24722
0.50585,0.14806
0.63978,0.018002
0.65967,-0.0072027
0.53262,0.11334
0.64103,-0.019016
-0.65877,0.93699
-0.50772,0.67691
-0.28835,0.25638
-0.13761,0.095454
0.15387,-0.028983
-0.0037537,0.042334
0.0034109,0.0065202
0.034169,-0.0056919
0.12067,-0.023297
0.154,-0.034906
-0.57541,-0.041879
-0.58951,-0.051824
-0.51591,-0.095178
-0.58526,-0.057713
-0.55283,-0.066503
-0.60601,-0.047744
-0.54004,-0.065483
-0.49511,-0.08719
-0.5703,-0.07922
-0.71432,0.78875
-1.0347,-0.73812
-0.89274,-0.6151
-0.95968,-0.57219
-1.0996,-0.78052
-0.92443,-0.64575
-1.1266,-0.65208
-1.2415,-0.79131
-1.0523,-0.62801
-1.0007,-0.46473
-1.1176,-0.74625
0.78171,-0.13487
0.8201,-0.13478
0.77612,-0.14441
0.82471,-0.15147
0.92999,-0.15519
0.83133,-0.13922
0.89977,-0.15304
0.79684,-0.15026
0.84865,-0.15464
0.95999,-0.15879
0.56606,-0.12164
0.44492,-0.10704
0.61569,-0.12577
0.54744,-0.12591
0.48751,-0.11118
0.53739,-0.12447
0.63236,-0.13823
0.54248,-0.12029
0.59831,-0.14349
0.65934,-0.13246
0.64234,-0.022679
0.50847,0.081299
0.61463,0.029468
0.49329,0.26488
0.49607,0.17926
0.62124,0.049599
0.5061,0.12103
0.46056,0.095429
0.54218,0.16596
0.41684,0.3429
0.18093,-0.044431
0.2412,-0.069442
0.22859,-0.081013
0.14381,-0.051081
-0.062864,0.072524
-0.28267,0.14514
0.1376,-0.04694
-0.00062292,0.033209
-0.16038,0.161
-0.62292,0.85509
-0.73886,0.78508
-0.99303,1
-0.59754,0.47793
-0.67769,0.30124
-0.52537,0.15641
-0.6089,0.23725
-0.71075,0.52333
-0.59305,0.20059
-0.64191,0.50811
-0.75637,0.76626
-0.99193,-0.63587
-0.9765,-0.55326
-1.1361,-0.7853
-1.0495,-0.72764
-1.0606,-0.73793
-1.0355,-0.6461
-1.1545,-0.72266
-0.87589,-0.44182
-1.0642,-0.61948
-1.0408,-0.63802
0.83282,-0.13852
0.98411,-0.14207
0.99032,-0.15108
0.82069,-0.14265
0.82953,-0.13314
0.96889,-0.14958
0.81973,-0.14841
0.81084,-0.14991
0.96721,-0.15963
0.8873,-0.15818
0.48904,-0.12391
0.45699,-0.10778
0.5055,-0.1247
0.61311,-0.13437
0.67071,-0.12279
0.70096,-0.13294
0.51983,-0.12579
0.67204,-0.1213
0.56233,-0.12202
0.67628,-0.12299
0.58233,0.15522
0.41993,0.37469
0.50502,0.29421
0.4799,0.19183
0.4656,0.12048
0.67446,0.025634
0.53922,0.14386
0.53187,0.19449
0.67819,-0.0077024
0.45103,0.15126
-0.55839,0.67235
-0.13529,0.074691
-0.28477,0.22333
-0.36868,0.29275
-0.461,0.53793
-0.48928,0.63957
-0.45731,0.56741
-0.39648,0.39684
-0.24255,0.19193
-0.64289,0.90469
-0.66289,0.54041
-0.6069,0.16671
-0.66889,0.18408
-0.6037,-0.023088
-0.64653,0.096518
-0.5849,0.049707
-0.59304,0.37584
-0.65013,0.57464
-0.66802,0.33616
-0.64717,0.11916
-0.94739,-0.7208
-0.89513,-0.70222
-1.1318,-0.60246
-1.1998,-0.18217
-0.87502,-0.58805
-0.8992,-0.76217
-0.93698,-0.11911
-1.1174,-0.65247
-0.77854,-0.13309
-1.0088,0.022769
0.78359,-0.14906
0.90268,-0.15409
0.8542,-0.1372
0.84331,-0.14206
0.82768,-0.13461
0.82275,-0.14987
0.8508,-0.14942
0.805,-0.13238
0.96163,-0.16145
0.78721,-0.13023
0.51987,-0.11552
0.48042,-0.1189
0.6312,-0.13531
0.59721,-0.12727
0.57214,-0.11713
0.63949,-0.11936
0.66709,-0.13342
0.70998,-0.12633
0.59248,-0.12393
0.70111,-0.12686
0.51873,0.25202
0.47311,0.22422
0.4942,0.20369
0.54056,0.15558
0.41915,0.30086
0.41649,0.34458
0.34917,0.46173
0.33431,0.43706
0.44575,0.28765
0.43513,0.328
-0.42735,0.46062
-0.14828,0.10331
-0.1737,0.18963
-0.36171,0.44699
-0.62035,0.80389
-0.58891,0.75368
-0.07615,0.081676
-0.37705,0.37633
-0.3356,0.31139
-0.19145,0.059241
-0.67624,0.50512
-0.6969,0.18793
-0.68355,0.084091
-0.78514,0.49124
-0.64665,0.30051
-0.70642,0.3649
-0.7989,0.12062
-0.8132,0.18156
-0.70437,0.46923
-0.93723,0.45415
-1.1649,-0.14525
-1.2005,0.30825
-1.5198,-0.10336
-1.256,0.087716
-1.1617,-0.023387
-1.2806,0.3354
-1.4233,0.21072
-1.2267,-0.52555
-1.1418,-0.3746
-1.2102,0.095761
